"Sequence","Title","Scope","State","Test","TestTitle","Dependency","LastUpdated"
51003,,,"Deprecated",553777,"C553777 Create set of regular bussiness hours and mid-day break from admin tab",,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553778,"C553778 Set of full day holiday from admin tab",553777,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553779,"C553779 First half day holiday from admin tab",553778,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553780,"C553780 Set full day holiday from home tab Part 1",553779,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553781,"C553781 Set full day holiday from home tab Part 2",553780,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553782,"C553782 Set weekend on all occurrences of the specified weekday from home tab",553781,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553783,"C553783 Set weekend on the first occurrence of the specified weekday",553782,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553784,"C553784 Set weekend on second occurrence of specified weekday",553783,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553785,"C553785 Set full day holiday from calendar view",553784,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553786,"C553786 Set full day holiday from home tab",553785,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553787,"C553787 Remove calendar from admin tab",553786,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553788,"C553788 Set fullday holiday from calendar view of admin tab",553787,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553789,"C553789 Set first half day from the calendar view of the admin tab",553788,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553790,"C553790 Modify calendar from home tab",553789,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553791,"C553791 Modify calendar from admin tab",553790,"2016-09-30T04:20:01.000Z"
51003,,,"Deprecated",553792,"C553792 Remove the holiday from admin tab",553791,"2016-09-30T04:20:01.000Z"
51009,,,"Deprecated",556326,"C556326 Set regular business days and mid day break from home tab",,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556327,"C556327 Set a full day holidya from admin tab",556326,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556328,"C556328 Set half day and second half day holiday from the admin tab",556327,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556329,"C556329 Set system default calendar from admin tab - Part 1",556328,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556330,"C556330 Set system default calendar from admin tab - Part 2",556329,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556331,"C556331 Set weekend of all occurences of the specified weekday from home tab",556330,"2017-04-03T16:38:22.000Z"
