"Sequence","Title","Scope","State","Test","TestTitle","Dependency","LastUpdated"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015448,"C1176739 - Start/Stop services (TC1-01)",,"2019-02-06T08:52:49.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015455,"C1176746 - Create a new local domain (TC2)",1015521,"2019-02-06T08:52:50.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015469,"C1176747 - Join domain from Active Directory (TC3-01)",1015455,"2019-02-06T08:52:50.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015516,"C1176761 - Public folders (TC4-01)",1015660,"2019-02-06T08:52:51.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015517,"C1176769 - SMTP Relay (TC5)",1015522,"2019-02-06T08:52:52.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015518,"C1176774 - Basic SMTP security (TC6)",1015517,"2019-02-06T08:52:52.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015519,"C1177238 - Return message to sender (TC7-01)",1015518,"2019-02-06T08:52:53.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015520,"C1177238 - Return message to sender (TC7-02)",1015519,"2019-02-06T08:52:53.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015521,"C1176739 - Start/Stop services (TC1-02)",1015448,"2019-02-06T08:52:49.000Z"
101166,"Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Admin/Engine: Service, Local Domain, Join Domain, Public Folders, SMTP, Return Message","Developed",1015522,"C1176761 - Public folders (TC4-02)",1015516,"2019-02-06T08:52:51.000Z"
